student_id,date,Start DateTime,End DateTime,shelfreads_completed,start_call,end_call,Duration
16.0,2023-09-19,2023-09-19 12:45:00,2023-09-19 12:55:00,4.0,SB 319.P38 2007,SB 322.F67 1985,0.17
16.0,2023-09-22,2023-09-22 09:40:00,2023-09-22 10:55:00,26.0,SB 322.K58,SB 403.16.S94 1984,1.25
16.0,2023-09-22,2023-09-22 15:15:00,2023-09-22 15:45:00,10.0,SB 403.16.S96 1989,SB 413.D12J39,0.5
16.0,2023-09-26,2023-09-26 11:10:00,2023-09-26 12:20:00,34.0,SB 413.D12K6,SB 466.I 82P534 2006 manuscript ,1.17
16.0,2023-09-29,2023-09-29 09:50:00,2023-09-29 10:50:00,26.0,SB 466.I83S2329 2017,SB 608.F8N35 2006,1.0
16.0,2023-10-03,2023-10-03 12:10:00,2023-10-03 12:50:00,23.0,SB 608.F8N36 1983,SB 741.W44B44 1987,0.67
16.0,2023-10-06,2023-10-06 10:20:00,1900-01-01 00:00:00,15.0,SB 741.W44F86,SB 950.A2C76 1993,-1084882.33
16.0,2023-10-13,2023-10-13 09:15:00,2023-10-13 10:50:00,18.0,SB 950. A2D425,SB 999.A8R6,1.58
16.0,2023-10-17,2023-10-17 11:10:00,2023-10-17 12:00:00,14.0,SD 45.S28 1986b,SD 387.O43C48 2001,0.83
16.0,2023-10-27,2023-10-27 09:30:00,2023-10-27 11:00:00,27.0,SD 387. O43D86 1998,SF 65.S3,1.5
16.0,2023-10-29,2023-10-29 13:50:00,2023-10-29 15:55:00,33.0,SF 65.U5 1944,SF 375.32.P37A33,2.08
16.0,2023-10-31,2023-10-31 11:05:00,2023-10-31 12:50:00,38.0,SF 375.4.V5F35 2006,SF 809.M4P38,1.75
16.0,2023-11-07,2023-11-07 11:05:00,2023-11-07 12:57:00,40.0,SF 951.R73 2002,SH 332.R47 2011,1.87
16.0,2023-11-10,2023-11-10 09:30:00,2023-11-10 10:55:00,20.0,SH 332.2.C2J63,SK 231.D37 1966,1.42
